loss,acc,val_loss,val_acc
,,,
1.1168,0.5522,0.7676,0.6456
,,,
0.5966,0.7758,0.6225,0.7467
,,,
0.5259,0.7903,0.5785,0.7711
,,,
0.5296,0.7823,0.6628,0.7533
,,,
0.4638,0.8157,0.5628,0.7722
,,,
0.4403,0.824,0.6051,0.7544
,,,
0.421,0.8393,0.5859,0.78
,,,
0.3916,0.8463,0.629,0.75
,,,
0.3743,0.857,0.6443,0.7489
,,,
0.3627,0.8618,0.5578,0.7767
,,,
0.3604,0.8623,0.5548,0.7822
,,,
0.3315,0.8738,0.5826,0.7711
,,,
0.3272,0.875,0.6257,0.7622
,,,
0.3185,0.8815,0.5834,0.7733
,,,
0.275,0.9,0.6018,0.7733
,,,
0.3137,0.878,0.6383,0.7556
,,,
0.3008,0.8872,0.7193,0.7344
,,,
0.2525,0.9067,0.6157,0.7811
,,,
0.2543,0.9052,0.8454,0.7267
,,,
0.241,0.907,0.6251,0.7611
,,,
0.2289,0.9172,0.6059,0.7767
,,,
0.2205,0.92,0.6696,0.76
,,,
0.254,0.906,0.6485,0.7778
,,,
0.213,0.925,0.7581,0.7389
,,,
0.1887,0.932,0.6347,0.7756
,,,
0.181,0.9355,0.6501,0.7756
,,,
0.1679,0.9443,0.6884,0.7644
,,,
0.1633,0.9442,0.6527,0.7789
,,,
0.1873,0.9308,0.7584,0.7489
,,,
0.1509,0.949,0.675,0.7667
,,,
0.1437,0.9525,0.7816,0.7556
,,,
0.1462,0.9488,0.8231,0.7411
,,,
0.1386,0.9528,0.6966,0.7711
,,,
0.1242,0.9602,0.8023,0.74
,,,
0.1576,0.9423,0.7346,0.7644
,,,
0.1379,0.9507,0.7312,0.7767
,,,
0.1149,0.9643,0.811,0.7456
,,,
0.1655,0.9352,0.9394,0.7478
,,,
0.1104,0.9623,0.8515,0.7544
,,,
0.128,0.9552,0.8994,0.7522
