loss,acc,val_loss,val_acc
,,,
1.6839,0.7802,1.1913,0.7244
,,,
0.4452,0.864,0.6323,0.8344
,,,
0.2042,0.9275,0.7337,0.7922
,,,
0.1253,0.955,0.7298,0.8211
,,,
0.0879,0.9668,0.6853,0.8267
,,,
0.0891,0.9687,0.9205,0.8056
,,,
0.0595,0.979,0.7895,0.8356
,,,
0.0175,0.996,0.7198,0.8411
,,,
0.0079,0.9992,0.7637,0.8222
,,,
0.0041,1,0.7296,0.8389
,,,
0.0028,1,0.7246,0.8378
,,,
0.0024,1,0.7276,0.8378
,,,
0.0022,1,0.7379,0.84
,,,
0.002,1,0.742,0.8422
,,,
0.0018,1,0.751,0.84
,,,
0.0016,1,0.7492,0.8411
,,,
0.0015,1,0.7542,0.8456
,,,
0.0014,1,0.7574,0.8367
,,,
0.0013,1,0.7653,0.8433
,,,
0.0012,1,0.7683,0.8411
,,,
0.0011,1,0.7728,0.8356
,,,
0.001,1,0.7749,0.8378
,,,
9.33E-04,1,0.7812,0.8444
,,,
8.77E-04,1,0.7887,0.8444
,,,
8.10E-04,1,0.7944,0.8389
,,,
7.66E-04,1,0.7958,0.8389
,,,
7.09E-04,1,0.8036,0.8378
,,,
6.70E-04,1,0.809,0.84
,,,
6.37E-04,1,0.81,0.8378
,,,
5.97E-04,1,0.8241,0.8511
,,,
5.68E-04,1,0.8215,0.8389
,,,
5.16E-04,1,0.8244,0.84
,,,
4.90E-04,1,0.8245,0.8389
,,,
4.58E-04,1,0.8278,0.84
,,,
4.33E-04,1,0.8377,0.8378
,,,
4.09E-04,1,0.8378,0.8389
,,,
3.90E-04,1,0.8399,0.8367
,,,
3.65E-04,1,0.8452,0.8378
,,,
3.45E-04,1,0.8544,0.8389
,,,
3.28E-04,1,0.8503,0.84
