loss,acc,val_loss,val_acc
,,,
4.0315,0.7693,0.4947,0.8289
,,,
0.3487,0.87,0.5715,0.8167
,,,
0.2314,0.9162,0.6618,0.8033
,,,
0.1442,0.9492,0.5426,0.8144
,,,
0.0875,0.973,0.5231,0.8311
,,,
0.0461,0.9897,0.568,0.8167
,,,
0.046,0.9873,0.7686,0.8256
,,,
0.1636,0.9407,0.6911,0.8244
,,,
0.0394,0.9872,0.7792,0.8256
,,,
0.0309,0.9922,0.7822,0.8256
,,,
0.0346,0.9888,0.8954,0.8167
,,,
0.0137,0.9962,0.837,0.83
,,,
0.0031,0.9993,0.8353,0.8311
,,,
0.0016,0.9998,0.8324,0.8356
,,,
0.0012,0.9998,0.8525,0.8344
,,,
0.001,0.9998,0.8584,0.8389
,,,
8.57E-04,0.9998,0.8617,0.84
,,,
7.63E-04,0.9998,0.8632,0.8389
,,,
6.91E-04,0.9998,0.8749,0.8389
,,,
6.25E-04,0.9998,0.8979,0.8389
,,,
5.69E-04,0.9998,0.9019,0.8378
,,,
5.22E-04,0.9998,0.9076,0.8389
,,,
4.84E-04,0.9998,0.9238,0.8367
,,,
4.49E-04,0.9998,0.9284,0.8378
,,,
4.21E-04,0.9998,0.9267,0.84
,,,
3.93E-04,1,0.9399,0.84
,,,
3.70E-04,1,0.9488,0.84
,,,
3.49E-04,1,0.9605,0.8367
,,,
3.31E-04,1,0.9693,0.8378
,,,
3.15E-04,1,0.9785,0.8378
,,,
3.01E-04,1,0.9847,0.8378
,,,
2.88E-04,1,0.9849,0.84
,,,
4.69E-04,0.9998,1.1648,0.8322
,,,
0.4818,0.8395,0.5374,0.8367
,,,
0.2103,0.9232,0.5729,0.8311
,,,
0.131,0.9503,0.6716,0.8378
,,,
0.0709,0.9755,0.7438,0.82
,,,
0.0446,0.9843,0.7993,0.8233
,,,
0.0332,0.987,1.0079,0.8367
,,,
0.0622,0.9792,1.1932,0.8267
