loss,acc,val_loss,val_acc
,,,
2.5425,0.7845,0.7776,0.7967
,,,
0.2528,0.9098,0.5451,0.8222
,,,
0.0961,0.9663,0.6468,0.8178
,,,
0.0382,0.9922,0.6071,0.83
,,,
0.0152,0.9988,0.639,0.83
,,,
0.0085,1,0.6539,0.83
,,,
0.0053,1,0.6742,0.8289
,,,
0.0038,1,0.6844,0.8311
,,,
0.0029,1,0.7019,0.8367
,,,
0.0023,1,0.7092,0.8356
,,,
0.0019,1,0.7212,0.8267
,,,
0.0016,1,0.7347,0.8333
,,,
0.0014,1,0.7425,0.8322
,,,
0.0012,1,0.7554,0.83
,,,
0.001,1,0.7652,0.8322
,,,
8.82E-04,1,0.774,0.8389
,,,
7.73E-04,1,0.7871,0.83
,,,
6.82E-04,1,0.7908,0.8289
,,,
6.06E-04,1,0.806,0.8267
,,,
5.45E-04,1,0.8126,0.8289
,,,
4.79E-04,1,0.8183,0.8344
,,,
4.40E-04,1,0.8284,0.8289
,,,
3.88E-04,1,0.837,0.8333
,,,
3.53E-04,1,0.8467,0.8267
,,,
3.19E-04,1,0.8494,0.8278
,,,
2.93E-04,1,0.8556,0.8267
,,,
2.69E-04,1,0.8615,0.8333
,,,
2.41E-04,1,0.8684,0.8289
,,,
2.19E-04,1,0.8735,0.8278
,,,
2.00E-04,1,0.8821,0.8267
,,,
1.80E-04,1,0.8877,0.8289
,,,
1.64E-04,1,0.8923,0.8267
,,,
1.50E-04,1,0.8985,0.8256
,,,
1.37E-04,1,0.9099,0.8267
,,,
1.24E-04,1,0.92,0.83
,,,
1.15E-04,1,0.9327,0.8256
,,,
1.06E-04,1,0.9351,0.8289
,,,
9.75E-05,1,0.9406,0.83
,,,
9.00E-05,1,0.9428,0.8256
,,,
8.35E-05,1,0.9527,0.8267
