loss,acc,val_loss,val_acc
,,,
5.2045,0.777,0.8924,0.7989
,,,
0.3571,0.906,1.0804,0.7967
,,,
0.1066,0.9647,0.8982,0.8267
,,,
0.027,0.992,0.8724,0.8278
,,,
0.0083,0.999,0.8341,0.8378
,,,
0.0027,1,0.8471,0.8333
,,,
0.0014,1,0.8464,0.8378
,,,
0.0011,1,0.8532,0.8389
,,,
9.25E-04,1,0.8574,0.8378
,,,
8.20E-04,1,0.8677,0.8444
,,,
7.31E-04,1,0.8731,0.8411
,,,
6.56E-04,1,0.8738,0.8422
,,,
5.93E-04,1,0.8774,0.84
,,,
5.37E-04,1,0.89,0.8444
,,,
4.89E-04,1,0.8881,0.8444
,,,
4.52E-04,1,0.8955,0.8433
,,,
4.11E-04,1,0.8979,0.8422
,,,
3.81E-04,1,0.9033,0.8433
,,,
3.55E-04,1,0.9034,0.8433
,,,
3.25E-04,1,0.9055,0.8433
,,,
3.04E-04,1,0.914,0.8411
,,,
2.82E-04,1,0.9156,0.8433
,,,
2.62E-04,1,0.9216,0.8389
,,,
2.44E-04,1,0.923,0.8411
,,,
2.28E-04,1,0.9269,0.8433
,,,
2.16E-04,1,0.9328,0.8433
,,,
1.99E-04,1,0.9362,0.8444
,,,
1.88E-04,1,0.9393,0.8422
,,,
1.77E-04,1,0.9414,0.8422
,,,
1.65E-04,1,0.9449,0.8422
,,,
1.56E-04,1,0.9505,0.8411
,,,
1.45E-04,1,0.9531,0.8422
,,,
1.37E-04,1,0.9577,0.8411
,,,
1.30E-04,1,0.9614,0.8422
,,,
1.22E-04,1,0.9608,0.84
,,,
1.15E-04,1,0.969,0.8433
,,,
1.08E-04,1,0.9723,0.8433
,,,
1.03E-04,1,0.9767,0.8422
,,,
9.67E-05,1,0.9797,0.8422
,,,
9.11E-05,1,0.9857,0.8433
